iter	RMSE
0	4261989.14
1	4076647.129
2	3915748.73
3	3772503.082
4	3642521.856
5	3526244.048
6	3422540.992
7	3331680.172
8	3251076.824
9	3176416.018
10	3112388.075
11	3054090.485
12	2999717.699
13	2953904.577
14	2914251.048
15	2875763.716
16	2846028.682
17	2817357.77
18	2792395.142
19	2767572.275
20	2746443.819
21	2727571.088
22	2709960.721
23	2694978.719
24	2680549.309
25	2668707.347
26	2657444.17
27	2646058.382
28	2633926.584
29	2625774.89
30	2617570.929
31	2610684.749
32	2603721.193
33	2597161.513
34	2590510.514
35	2585062.966
36	2579894.897
37	2575483.137
38	2569791.303
39	2566276.434
40	2563016.602
41	2559765.371
42	2556123.477
43	2552872.423
44	2549131.94
45	2546372.432
46	2543819.532
47	2541292.34
48	2539353.452
49	2536411.187
50	2533313.949
51	2531277.915
52	2529439.041
53	2527547.057
54	2526043.398
55	2524529.282
56	2523101.745
57	2522052.869
58	2519982.164
59	2518709.321
60	2516850.56
61	2514567.033
62	2513089.136
63	2511955.193
64	2509871.393
65	2507668.005
66	2506447.231
67	2504320.164
68	2502156.5
69	2500717.872
70	2499070.047
71	2497877.75
72	2496798.145
73	2495674.753
74	2494087.804
75	2493070.278
76	2491794.729
77	2490159.276
78	2489440.167
79	2488740.626
80	2487796.307
81	2487170.12
82	2485097.573
83	2484488.206
84	2483833.9
85	2483228.682
86	2480827.331
87	2480403.947
88	2478543.612
89	2476876.906
90	2475843.396
91	2475221.909
92	2474857.321
93	2474075.835
94	2473001.544
95	2472249.049
96	2471658.812
97	2470819.934
98	2470064.148
99	2469516.726
100	2468480.125
101	2466838.227
102	2466231.35
103	2465673.032
104	2464737.118
105	2463877.803
106	2462977.101
107	2461909.438
108	2460940.28
109	2460453.948
110	2458728.509
111	2457280.624
112	2456026.919
113	2454813.809
114	2454359.982
115	2453767.842
116	2452782.875
117	2451800.936
118	2450926.017
119	2449966.212
120	2449241.621
121	2448829.396
122	2448377.09
123	2447622.067
124	2447027.213
125	2446424.241
126	2446131.757
127	2445567.471
128	2444489.922
129	2443486.864
130	2442867.542
131	2442432.411
132	2441458.646
133	2440888.725
134	2440384.536
135	2439823.907
136	2438922.832
137	2438477.524
138	2438139.499
139	2437710.041
140	2437365.195
141	2436904.589
142	2436240.857
143	2435672.352
144	2435033.217
145	2434190.951
146	2433284.199
147	2432342.023
148	2431828.079
149	2431463.568
150	2430909.455
151	2430402.895
152	2429773.623
153	2429209.264
154	2428663.198
155	2427944.25
156	2427556.464
157	2427013.447
158	2426531.607
159	2426139.641
160	2425247.962
161	2424329.851
162	2423843.106
163	2423155.62
164	2422685.267
165	2422140.951
166	2421779.894
167	2421506.869
168	2421133.825
169	2420299.892
170	2419916.861
171	2419512.095
172	2419047.585
173	2418191.274
174	2417209.036
175	2416753.459
176	2416028.904
177	2415620.671
178	2415093.271
179	2414698.482
180	2414245.85
181	2413846.865
182	2413557.134
183	2413078.706
184	2412550.179
185	2412130.092
186	2411603.664
187	2411353.954
188	2410885.79
189	2410382.047
190	2409604.79
191	2409220.226
192	2408555.756
193	2408182.991
194	2407645.123
195	2407350.104
196	2407011.278
197	2406537.399
198	2406244.72
199	2405508.102
200	2405190.018
201	2404610.881
202	2404022.399
203	2403599.128
204	2403158.373
205	2402678.571
206	2401929.448
207	2401473.654
208	2401114.194
209	2400682.742
210	2400173.229
211	2399563.026
212	2399318.106
213	2398999.222
214	2398758.241
215	2398230.305
216	2397793.757
217	2397466.228
218	2396951.371
219	2396421.983
220	2395866.492
221	2395528.855
222	2395124.683
223	2394688.717
224	2394241.02
225	2394028.046
226	2393693.102
227	2393171.034
228	2392710.975
229	2391954.943
230	2391603.58
231	2391260.691
232	2390782.963
233	2390485.528
234	2389866.64
235	2389237.051
236	2388975.495
237	2388377.116
238	2387968.67
239	2387642.651
240	2387367.488
241	2386882.45
242	2386591
243	2386033.714
244	2385647.056
245	2385240.55
246	2385029.145
247	2384760.169
248	2384316.583
249	2383930.094
250	2383494.783
251	2383114.771
252	2382894.267
253	2382355.37
254	2382002.58
255	2381642.417
256	2381317.796
257	2381038.395
258	2380760.719
259	2380365.109
260	2380203.6
261	2379793.124
262	2379446.175
263	2378889.393
264	2378546.896
265	2378198.259
266	2377889.002
267	2377398.675
268	2377227.012
269	2376784.995
270	2376554.905
271	2376053.559
272	2375806.28
273	2375366.822
274	2375110.264
275	2374866.801
276	2374602.929
277	2374270.089
278	2373839.017
279	2373346.223
280	2373171.452
281	2372910.593
282	2372600.606
283	2372253.957
284	2371861.653
285	2371549.572
286	2371222.284
287	2370663.73
288	2370260.402
289	2369825.126
290	2369583.12
291	2369275.475
292	2368846.3
293	2368450.722
294	2367958.783
295	2367677.731
296	2367428.029
297	2367116.619
298	2366840.186
299	2366523.721
300	2366238.762
301	2366057.735
302	2365636.473
303	2365258.075
304	2364837.359
305	2364600.816
306	2364372.42
307	2363900.934
308	2363679.12
309	2363288.713
310	2362848.455
311	2362589.904
312	2362344.741
313	2361911.471
314	2361719.062
315	2361399.435
316	2361213.743
317	2360861.248
318	2360442.865
319	2360010.051
320	2359844.375
321	2359404.147
322	2359075.425
323	2358858.106
324	2358599.356
325	2358217.667
326	2357935.614
327	2357506.607
328	2357097.457
329	2356862.466
330	2356669.236
331	2356221.286
332	2355915.159
333	2355717.804
334	2355280.258
335	2354914.599
336	2354651.86
337	2354359.356
338	2354069.603
339	2353734.594
340	2353369.904
341	2353008.978
342	2352819.608
343	2352596.837
344	2352431.637
345	2352088.045
346	2351836.109
347	2351497.521
348	2351087.903
349	2350762.333
350	2350558.553
351	2350239.215
352	2349985.003
353	2349604.691
354	2349346.815
355	2349132.584
356	2348815.737
357	2348519.027
358	2348358.292
359	2347963.184
360	2347723.812
361	2347486.953
362	2347023.574
363	2346751.59
364	2346540.943
365	2346209.914
366	2346036.765
367	2345789.018
368	2345534.3
369	2345251.098
370	2344932.788
371	2344674.771
372	2344370.838
373	2344046.67
374	2343776.974
375	2343487.921
376	2343198.947
377	2342887.486
378	2342397.949
379	2342003.151
380	2341769.635
381	2341580.273
382	2341346.154
383	2341172.355
384	2340986.775
385	2340755.973
386	2340565.756
387	2340123.08
388	2339930.058
389	2339648.659
390	2339513.325
391	2339423.628
392	2339080.849
393	2338866.636
394	2338663.709
395	2338351.504
396	2337935.084
397	2337620.202
398	2337450.01
399	2337148.694
400	2336936.795
401	2336763.412
402	2336608.236
403	2336406.022
404	2336036.717
405	2335851.988
406	2335605.357
407	2335448.139
408	2335043.857
409	2334666.555
410	2334456.251
411	2334194.53
412	2333912.829
413	2333630.631
414	2333297.102
415	2333025.207
416	2332700.628
417	2332382.401
418	2332188.835
419	2331942.239
420	2331742.271
421	2331481.148
422	2331155.079
423	2330901.065
424	2330732.244
425	2330574.842
426	2330352.137
427	2330064.487
428	2329825.978
429	2329580.004
430	2329331.06
431	2328965.681
432	2328764.671
433	2328477.364
434	2328364.711
435	2328038.082
436	2327705.046
437	2327380.757
438	2327218.022
439	2326992.469
440	2326757.519
441	2326502.424
442	2326306.647
443	2326185.97
444	2325901.575
445	2325641.844
446	2325517.397
447	2325355.434
448	2324982.85
449	2324832.32
450	2324602.848
451	2324255.536
452	2323915.117
453	2323676.34
454	2323550.357
455	2323403.319
456	2323098.955
457	2322847.627
458	2322559.799
459	2322311.8
460	2322008.828
461	2321855.321
462	2321561.991
463	2321423.467
464	2321268.671
465	2321015.677
466	2320633.106
467	2320229.411
468	2320046.325
469	2319717.706
470	2319500.302
471	2319253.611
472	2319150.949
473	2318922.214
474	2318744.948
475	2318607.735
476	2318520.688
477	2318238.306
478	2318078.705
479	2317884.339
480	2317655.829
481	2317367.425
482	2317097.982
483	2316886.79
484	2316649.867
485	2316390.562
486	2316204.088
487	2316050.576
488	2315898.752
489	2315724.581
490	2315559.346
491	2315327.314
492	2315109.876
493	2314806.344
494	2314507.408
495	2314250.315
496	2314042.225
497	2313763.323
498	2313481.745
499	2313333.58
500	2313105.951
501	2312900.927
502	2312603.116
503	2312344.041
504	2312212.11
505	2312025.138
506	2311708.778
507	2311451.224
508	2311227.292
509	2310964.327
510	2310786.34
511	2310597.031
512	2310325.198
513	2310174.756
514	2309857.68
515	2309611.116
516	2309391.378
517	2309254.945
518	2309029.929
519	2308752.964
520	2308541.128
521	2308337.964
522	2308081.33
523	2307824.49
524	2307666.149
525	2307534.821
526	2307333.771
527	2307214.44
528	2306875.94
529	2306701.625
530	2306530.272
531	2306280.983
532	2306027.154
533	2305961.385
534	2305678.23
535	2305405.83
536	2305198.981
537	2305077.064
538	2304904.574
539	2304652.345
540	2304320.947
541	2304152.574
542	2303946.9
543	2303587.52
544	2303257.309
545	2303058.821
546	2302820.099
547	2302612.494
548	2302411.849
549	2302218.343
550	2301994.126
551	2301854.716
552	2301737.857
553	2301540.899
554	2301292.064
555	2301091.39
556	2300850.674
557	2300673.877
558	2300277.232
559	2299983.552
560	2299803.339
561	2299548.056
562	2299380.833
563	2299175.316
564	2298918.241
565	2298698.786
566	2298596.284
567	2298380.751
568	2298127.557
569	2297926.114
570	2297735.081
571	2297482.904
572	2297348.613
573	2297150.835
574	2297057.64
575	2296800.84
576	2296695.055
577	2296409.789
578	2296232.691
579	2296007.977
580	2295924.406
581	2295794.139
582	2295604.08
583	2295460.887
584	2295140.089
585	2294916.446
586	2294712.687
587	2294520.131
588	2294272.466
589	2294050.723
590	2293717.153
591	2293560.531
592	2293307.799
593	2293146.811
594	2292927.459
595	2292731.87
596	2292520.352
597	2292333.97
598	2292150.895
599	2292013.797
600	2291875.694
601	2291756.774
602	2291578.267
603	2291374.061
604	2291287.744
605	2291055.687
606	2290879.312
607	2290705.972
608	2290483.143
609	2290307.894
610	2290199.585
611	2290068.403
612	2289852.397
613	2289615.493
614	2289393.385
615	2289288.139
616	2289079.364
617	2288806.177
618	2288569.867
619	2288386.959
620	2288224.481
621	2288058.892
622	2287866.777
623	2287487.976
624	2287276.476
625	2286959.548
626	2286838.269
627	2286544.405
628	2286285.488
629	2286185.864
630	2285878.636
631	2285538.097
632	2285323.218
633	2285106.801
634	2284819.562
635	2284592.996
636	2284390.161
637	2284315.798
638	2284075.846
639	2284002.751
640	2283768.118
641	2283579.285
642	2283345.282
643	2283073.501
644	2282853.433
645	2282668.83
646	2282430.651
647	2282244.045
648	2282010.598
649	2281911.794
650	2281722.332
651	2281636.69
652	2281459.897
653	2281119.103
654	2280898.362
655	2280824.47
656	2280761.151
657	2280579.429
658	2280449.809
659	2280267.569
660	2280143.642
661	2279892.853
662	2279774.759
663	2279584.406
664	2279538.006
665	2279405.008
666	2279240
667	2279056.945
668	2278869.831
669	2278654.443
670	2278434.416
671	2278183.204
672	2278064.933
673	2277863.528
674	2277731.069
675	2277586.399
676	2277429.386
677	2277298.885
678	2277016.943
679	2276874.348
680	2276668.85
681	2276495.186
682	2276311.88
683	2276091.893
684	2275939.507
685	2275754.405
686	2275553.159
687	2275322.621
688	2275149.801
689	2274915.195
690	2274762.636
691	2274537.726
692	2274334.688
693	2274186.456
694	2273999.874
695	2273748.927
696	2273631.489
697	2273442.358
698	2273252.335
699	2273029.787
700	2272750.686
701	2272650.147
702	2272385.81
703	2272151.626
704	2272011.308
705	2271857.956
706	2271582.575
707	2271347.096
708	2271073.366
709	2270813.893
710	2270503.051
711	2270248.162
712	2270092.366
713	2269798.902
714	2269570.284
715	2269415.309
716	2269176.204
717	2269006.332
718	2268788.992
719	2268581.727
720	2268410.592
721	2268250.804
722	2268122.629
723	2267963.862
724	2267651.719
725	2267490.19
726	2267335.519
727	2267145.864
728	2266914.079
729	2266785.174
730	2266658.808
731	2266432.615
732	2266201.621
733	2266010.948
734	2265821.369
735	2265716.85
736	2265592.244
737	2265439.77
738	2265288.753
739	2265128.218
740	2264936.568
741	2264682.345
742	2264337.243
743	2264183.252
744	2264095.771
745	2263998.551
746	2263871.353
747	2263666.688
748	2263482.747
749	2263352.626
750	2263213.253
751	2262983.453
752	2262795.482
753	2262673.756
754	2262413.775
755	2262277.813
756	2262097.554
757	2261916.077
758	2261873.79
759	2261788.992
760	2261554.709
761	2261352.183
762	2261249.911
763	2261097.173
764	2260986.463
765	2260782.117
766	2260598.859
767	2260405.283
768	2260248.186
769	2259970.285
770	2259864.857
771	2259766.127
772	2259664.247
773	2259460.136
774	2259274.209
775	2259137.715
776	2259028.392
777	2258850.945
778	2258662.893
779	2258414.381
780	2258261.159
781	2258118.677
782	2258024.563
783	2257886.427
784	2257672.192
785	2257538.437
786	2257309.419
787	2257204.494
788	2257104.112
789	2256921.644
790	2256702.091
791	2256555.438
792	2256389.378
793	2256167.968
794	2255960.357
795	2255876.421
796	2255678.71
797	2255571.454
798	2255426.893
799	2255300.459
800	2255205.359
801	2255166.709
802	2255086.224
803	2254943.895
804	2254843.641
805	2254671.132
806	2254545.268
807	2254356.746
808	2254255.166
809	2254018.53
810	2253873.231
811	2253751.415
812	2253590.446
813	2253470.223
814	2253246.086
815	2253096.687
816	2252844.791
817	2252671.669
818	2252467.073
819	2252259.558
820	2251971.676
821	2251864.959
822	2251627.732
823	2251544.198
824	2251440.456
825	2251205.239
826	2251153.456
827	2250942.801
828	2250738.859
829	2250576.033
830	2250455.781
831	2250263.205
832	2250042.651
833	2249928.668
834	2249765.637
835	2249619.695
836	2249518.141
837	2249305.034
838	2249123.174
839	2248885.019
840	2248785.615
841	2248694.856
842	2248557.943
843	2248328.136
844	2248146.13
845	2248001.189
846	2247841.56
847	2247765.457
848	2247661.35
849	2247612.714
850	2247436.874
851	2247233.971
852	2247121.765
853	2246850.606
854	2246678.311
855	2246530.359
856	2246405.589
857	2246241.266
858	2246124.989
859	2245853.563
860	2245635.077
861	2245446.774
862	2245216.247
863	2245023.201
864	2244907.094
865	2244773.964
866	2244678.143
867	2244559.652
868	2244424.448
869	2244261.369
870	2244055.792
871	2243902.458
872	2243674.932
873	2243535.356
874	2243318.144
875	2243187.379
876	2242980.7
