iter	Passed	Remaining
0	84	84318
1	116	58351
2	141	47120
3	167	41623
4	198	39574
5	223	37084
6	250	35530
7	275	34136
8	304	33490
9	338	33540
10	373	33537
11	410	33814
12	442	33592
13	478	33678
14	511	33602
15	543	33451
16	578	33460
17	611	33351
18	655	33820
19	690	33827
20	721	33617
21	752	33449
22	791	33629
23	828	33672
24	857	33441
25	892	33425
26	922	33232
27	957	33248
28	992	33239
29	1020	33003
30	1060	33146
31	1089	32961
32	1120	32847
33	1153	32779
34	1184	32668
35	1213	32502
36	1246	32443
37	1274	32260338	1309	32270
39	1341	32197440	1374	32160
41	1404	32027442	1441	32084
43	1475	32062
44	1508	32022
45	1540	31939
46	1565	31742447	1595	31653448	1629	31627449	1660	31542550	1690	31450
51	1726	31468
52	1758	31417
53	1791	31391
54	1825	31362
55	1859	31346
56	1890	31269
57	1918	31155
58	1947	31063
59	1979	31019
60	2008	30910
61	2039	30849
62	2063	30690663	2093	30611664	2127	30606665	2162	30596666	2193	30549667	2224	30489668	2255	30427669	2286	30377770	2317	30325771	2348	30271772	2378	30204773	2407	30122774	2436	30051775	2465	29980776	2495	29908777	2524	29845778	2555	29789779	2584	29726880	2617	29702881	2653	29707882	2684	29653883	2714	29601884	2745	29552885	2778	29530886	2813	29520887	2847	29506888	2881	29492889	2916	29485990	2946	29428991	2976	29376992	3008	29338993	3037	29272994	3067	29221995	3096	29161996	3133	29167997	3164	29126998	3195	29084999	3228	290551100	3257	289971101	3293	289941102	3328	289831103	3361	28957104	3378	28799
105	3441	29027
106	3469	28959
107	3503	28933
108	3545	28978
109	3602	29143
110	3649	29226
111	3702	29353
112	3765	29554
113	3811	29620
114	3880	29862
115	3940	30031
116	3991	30120
117	4038	30188
118	4061	30069
119	4094	30028
120	4123	29957
121	4151	29877
122	4189	29868
123	4218	29803
124	4247	29734
125	4284	29721
126	4308	29619
127	4333	29519
128	4367	29489
129	4413	29533
130	4447	29503
131	4483	29483
132	4515	29435
133	4546	29380
134	4591	29417
135	4626	29391
136	4659	29350
137	4701	29368
138	4733	29319
139	4765	29275
